YXX,ABBOTSFORD,ABBOTSFORD,C,49,1,31,122,21,48,190
APG,PHILLIPS AAF,ABERDEEN,U,39,27,58,76,10,10,58
ABI,ABILENE RGNL,ABILENE,U,32,24,40,99,40,54,1791
DYS,DYESS AFB,ABILENE,U,32,25,14,99,51,16,1789
AKR,AKRON FULTON INTERNATIONAL,AKRON,U,41,2,15,81,28,0,1067
HMN,HOLLOMAN AFB,ALAMOGORDO,U,32,51,9,106,6,23,4093
ALB,ALBANY INTERNATIONAL,ALBANY,U,42,44,53,73,48,10,285
YLT,ALERT,ALERT,C,82,31,4,62,16,50,100
AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,U,31,19,38,92,32,54,89
ESF,ESLER RGNL,ALEXANDRIA,U,31,23,41,92,17,44,112
ALI,ALICE INTERNATIONAL,ALICE,U,27,44,27,98,1,37,178
AOO,ALTOONA BLAIR CO,ALTOONA,U,40,17,47,78,19,12,1504
LTS,ALTUS AFB,ALTUS,U,34,40,1,99,16,0,1382
AMA,AMARILLO INTERNATIONAL,AMARILLO,U,35,13,9,101,42,21,3607
ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,U,61,10,27,149,59,46,152
EDF,ELMENDORF AFB,ANCHORAGE,U,61,15,4,149,48,23,213
MRI,MERRILL FLD,ANCHORAGE,U,61,12,51,149,50,46,137
ANB,ANNISTON METROPOLITAN,ANNISTON,U,33,35,17,85,51,29,612
ADM,ARDMORE MUNI,ARDMORE,U,34,18,11,97,1,10,762
YYW,ARMSTRONG,ARMSTRONG,C,50,17,25,88,54,35,1058
YIB,ATIKOKAN MUNI,ATIKOKAN,C,48,46,26,91,38,19,1408
ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,U,33,38,25,84,25,37,1026
ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,U,39,27,27,74,34,37,75
AUG,AUGUSTA STATE,AUGUSTA,U,44,19,14,69,47,50,352
AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,U,30,11,40,97,40,11,542
YBG,BAGOTVILLE,BAGOTVILLE,C,48,19,50,70,59,47,522
YBC,BAIE COMEAU,BAIE COMEAU,C,49,7,56,68,12,26,71
YBK,BAKER LAKE,BAKER LAKE,C,64,17,56,96,4,40,59
BFL,MEADOWS FLD,BAKERSFIELD,U,35,26,0,119,3,24,507
BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,U,39,10,31,76,40,6,146
BGR,BANGOR INTERNATIONAL,BANGOR,U,44,48,26,68,49,41,192
BRW,WILEY POST WILL ROGERS MEM,BARROW,U,71,17,7,156,45,57,44
BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,U,30,31,59,91,8,58,70
BDE,BAUDETTE INTERNATIONAL,BAUDETTE,U,48,43,42,94,36,44,1086
NBC,BEAUFORT MCAS,BEAUFORT,U,32,28,38,80,43,23,36
BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,U,29,57,3,94,1,14,15
BED,LAURENCE G HANSCOM FLD,BEDFORD,U,42,28,11,71,17,20,133
BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,U,38,32,42,89,50,6,459
BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,U,48,47,33,122,32,15,170
